Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
1,Control,29,0.002589655,15/07/2014,196,340,0.001952941,31/07/2014,212,17.4,46.8,4,0.000775,2,0.0002,16,0.0004,NA,NA,257,0.00108716,10/08/2015,222,0.18847352,0.164018692,0.06152648
1,Control,25,0.003844,15/07/2014,196,198,0.002027273,31/07/2014,212,17,48.9,4,0.000975,16,0.000425,13,0.000392308,18,0.004061111,383,0.001908877,10/08/2015,222,NA,0.185981308,0.061993769
1,Control,28,0.002010714,15/07/2014,196,215,0.002239535,31/07/2014,212,13.7,34,4,0.00035,13,0.000938462,11,0.000318182,19,0.004263158,401,0.001413217,10/08/2015,222,NA,0.534890966,NA
1,Control,21,0.005180952,15/07/2014,196,293,0.001337543,14/08/2014,226,12.7,35.2,4,0.000725,12,0.000858333,15,6.67E-05,NA,NA,298,0.00101443,13/08/2015,225,NA,NA,NA
1,Control,20,0.001565,15/07/2014,196,373,0.001373727,14/08/2014,226,12.9,35.6,4,0.00065,17,0.000805882,13,0.000430769,NA,NA,253,0.001235178,13/08/2015,225,NA,NA,NA
1,Control,24,0.003904167,23/07/2014,204,233,0.000871674,14/08/2014,226,13,33.4,NA,NA,NA,NA,NA,NA,NA,NA,380,0.001152632,13/08/2015,225,NA,NA,NA
1,Control,21,0.001904762,23/07/2014,204,NA,NA,NA,NA,16.7,42.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Control,27,0.003292593,23/07/2014,204,NA,NA,NA,NA,18.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Control,23,0.004717391,23/07/2014,204,NA,NA,NA,NA,17.7,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Control,18,0.003527778,23/07/2014,204,NA,NA,NA,NA,16.5,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heat+Water,22,0.003736364,15/07/2014,196,268,0.001339552,31/07/2014,212,16,45.8,4,0.0007,5,0.00186,15,0.000193333,19,0.002521053,234,0.002217094,10/08/2015,222,0.359813084,0.208722741,0.036292835
2,Heat+Water,23,0.002147826,15/07/2014,196,293,0.001468601,31/07/2014,212,13.8,31.6,4,0.000725,12,0.000725,16,0.00053125,3,0.0052,179,0.001758101,10/08/2015,222,0.390965732,0.063862928,0.03317757
2,Heat+Water,27,0.002314815,15/07/2014,196,176,0.000961932,31/07/2014,212,12.4,35.8,4,0.000825,10,0.00026,10,0.00035,24,0.003804167,167,0.001769461,10/08/2015,222,0.210280374,NA,NA
2,Heat+Water,24,0.004091667,15/07/2014,196,244,0.001697951,14/08/2014,226,12.9,33.4,4,0.00055,15,0.000353333,14,0.000464286,NA,NA,166,0.001076506,13/08/2015,225,NA,NA,NA
2,Heat+Water,26,0.002373077,15/07/2014,196,243,0.001472016,14/08/2014,226,20,34.3,3,0.0006,19,0.000236842,13,0.000469231,NA,NA,199,0.000752764,13/08/2015,225,NA,NA,NA
2,Heat+Water,22,0.003854545,23/07/2014,204,176,0.001677841,14/08/2014,226,14.4,42.8,NA,NA,NA,NA,NA,NA,NA,NA,139,0.001778417,13/08/2015,225,NA,NA,NA
2,Heat+Water,26,0.004688462,23/07/2014,204,NA,NA,NA,NA,15.5,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heat+Water,22,0.004095455,23/07/2014,204,NA,NA,NA,NA,13.4,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heat+Water,18,0.003444444,23/07/2014,204,NA,NA,NA,NA,12.9,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
