Plot,Treatment,Year,WConnectance,GeneralityHL,InteractionEvenness,VulnerabilityLL,PRichness,Visits,VRichness,Chao,FRichness,TotalFlowers,VisitsOverFlowers,WheatCover,CFCover,CMCover,RDNCover,SWCover,CWCover,CFVisits,CFFlowers,CFVisitsOverFlowers,CMVisits,CMFlowers,CMVisitsOverFlowers,RDNVisits,RDNFlowers,RDNVisitsOverFlowers,CWVisits,CWFlowers,CWVisitsOverFlowers,SWVisits,SWFlowers,SWVisitsOverFlowers,MeanDiet
1,Control,1,0.15855783,1.79430919,0.68137067,7.71916058,20,68,25,41.8,16,884,0.076923077,0.82,0.05,0.12,0.01,0.07,0.1,24,99,0.242424242,28,241,0.116182573,0,20,0,6,189,0.031746032,1,72,0.013888889,1.44
2,Heat+Water,1,0.18689279,1.43495829,0.60081873,7.53589555,17,79,18,20.20408,13,539,0.146567718,0.92,0.05,0.04,0.02,0.01,0.07,55,138,0.398550725,19,78,0.243589744,2,29,0.068965517,1,80,0.0125,1,36,0.027777778,1.5
3,Water,1,0.15849281,1.57484826,0.63654674,6.98376343,16,67,22,43,14,1028,0.065175097,0.75,0.06,0.3,0.03,0.01,0.1,18,157,0.114649682,38,492,0.077235772,0,18,0,5,78,0.064102564,0,44,0,1.318181818
4,Water,1,0.15031262,1.44548398,0.64349101,5.16827138,19,59,18,39.42857,14,921,0.064060803,0.84,0.1,0.1,0.05,0.01,0.06,29,247,0.117408907,19,255,0.074509804,3,92,0.032608696,0,80,0,0,12,0,1.388888889
5,Control,1,0.12955961,1.26458689,0.57197817,5.73163204,16,83,21,26.78571,16,1129,0.073516386,0.83,0.09,0.15,0.15,0.01,0.04,25,221,0.113122172,47,276,0.170289855,8,301,0.026578073,1,35,0.028571429,0,40,0,1.238095238
6,Water,1,0.19780494,1.5552246,0.65853776,9.12624195,18,77,22,34.34286,13,1399,0.055039314,0.76,0.07,0.35,0.12,0.01,0.04,31,210,0.147619048,41,468,0.087606838,2,354,0.005649718,0,31,0,0,30,0,1.5
7,Heat+Water,1,0.21302507,1.3295603,0.6513984,5.48724185,14,43,12,13.71429,13,366,0.117486339,0.95,0.03,0.04,0.02,0.02,0.02,24,74,0.324324324,17,72,0.236111111,0,20,0,0,15,0,1,22,0.045454545,1.25
8,Heat,1,0.23240763,1.37699454,0.70624336,6.98968009,15,35,15,18,11,431,0.081206497,0.96,0.03,0.03,0.02,0.04,0.02,21,87,0.24137931,13,57,0.228070175,0,9,0,0,10,0,1,87,0.011494253,1.133333333
9,Water,1,0.16743981,1.70745655,0.64894398,7.66917286,13,89,23,30.40816,14,927,0.09600863,0.83,0.05,0.25,0.01,0.03,0.08,32,133,0.240601504,44,442,0.099547511,0,6,0,1,97,0.010309278,11,150,0.073333333,1.47826087
10,Heat+Water,1,0.2217055,1.4594702,0.5926683,9.625805,13,52,20,41,12,749,0.069425901,0.89,0.09,0.02,0.01,0.13,0.03,44,194,0.226804124,2,20,0.1,0,8,0,0,50,0,3,341,0.008797654,1.15
