	Year	Treatment
1	1	Control
2	1	Heat+Water
3	1	Water
4	1	Water
5	1	Control
6	1	Water
7	1	Heat+Water
8	1	Heat
9	1	Water
10	1	Heat+Water
11	1	Heat
12	1	Heat+Water
13	1	Heat+Water
14	1	Heat
15	1	Heat
16	1	Control
17	1	Heat+Water
18	1	Heat
19	1	Water
20	1	Control
21	1	Control
22	1	Heat
23	1	Control
24	1	Water
25	2	Control
26	2	Heat+Water
27	2	Water
28	2	Water
29	2	Control
30	2	Water
31	2	Heat+Water
32	2	Heat
33	2	Water
34	2	Heat+Water
35	2	Heat
36	2	Heat+Water
37	2	Heat+Water
38	2	Heat
39	2	Heat
40	2	Control
41	2	Heat+Water
42	2	Heat
43	2	Water
44	2	Control
45	2	Control
46	2	Heat
47	2	Control
48	2	Water
